Year,Country of Asylum Code,Country of Asylum Name,Population Type,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
2002,CZE,Czechia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1983
2002,CZE,Czechia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
2002,DNK,Denmark,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2002,DNK,Denmark,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
2002,ECU,Ecuador,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,EST,Estonia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,FIN,Finland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2002,FRA,France,REF,0,0,0,0,0,226,226,0,0,0,0,0,212,212,438
2002,GBR,United Kingdom of Great Britain and Northern Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345
2002,DEU,Germany,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245
2002,DEU,Germany,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53502
2002,HUN,Hungary,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2002,HUN,Hungary,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2002,ISL,Iceland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2002,IRL,Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
2002,ISR,Israel,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2002,ITA,Italy,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2002,LIE,Liechtenstein,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,LTU,Lithuania,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,MEX,Mexico,REF,0,0,0,0,0,0,0,0,0,0,6,0,0,6,6
2002,NLD,Netherlands,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271
2002,NLD,Netherlands,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462
2002,NOR,Norway,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
2002,PAN,Panama,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
